postnummer,NDI,NDI_rank
54147,1.1305603,.88426924
54148,1.1944528,.89581293
54149,-.036191914,.51418507
54150,.55968958,.75611424
54152,.56836754,.75885344
54153,.82824928,.82420272
54154,.84492481,.8272354
54155,.93705904,.84592056
54156,.039335303,.55087066
54157,.2600635,.64967716
54161,-.2010463,.43905303
54162,-.23437305,.42349833
54163,-2.1388566,.021620035
54164,-2.0592923,.024554882
54165,-.18112005,.44766191
54166,1.2801168,.90794367
54170,.49415979,.73449421
54171,-.019806266,.52289182
54176,-.13553715,.46928194
54177,.11919162,.58843672
54178,-.39568567,.3467032
54191,.11192491,.58481705
54192,.11064121,.58403444
54193,.18713377,.61876345
54194,-.021020018,.52210915
54195,.023901619,.54421836
54196,.00055254885,.53316379
54197,.47577113,.72921151
54198,-.10496733,.48366269
54230,-.29536125,.39326942
54231,.12859431,.59274113
54232,-.26188987,.40970457
54233,-.5668053,.27929956
54234,-.61924624,.25875562
54235,.82056624,.82224613
54236,1.0775797,.8735081
54240,-1.1051015,.12639405
54241,.33349612,.67706907
54242,-1.275081,.094893366
54243,-.40414959,.34279007
54244,-1.2438613,.10017609
54245,-.35116962,.36734495
54266,-.62531412,.25670123
54272,-.81767601,.19546077
54273,-.20033021,.43944433
54274,-.49224561,.30708277
54275,-.83600569,.19233027
54291,-.042958517,.51056546
54292,-.36996046,.35961652
54293,.067988589,.56456661
54294,-.088576227,.49031502
54295,-.045947328,.50929368
54330,-1.7003751,.046174917
54331,-.96895629,.1577969
54332,-.28918722,.39571512
54333,-.67270595,.23977695
54334,-.054724243,.50440228
54335,-1.1002567,.12737234
54336,.20431843,.62756801
54337,-2.3023682,.01477206
54351,-.96724761,.15818822
54391,.038561687,.55047935
54392,-.15460952,.46028176
54393,.088370845,.57434946
54394,.076844476,.5690667
54395,.2739878,.65574253
54430,-.63072217,.25445119
54431,.096727006,.57747996
54432,-1.1307263,.12140481
54433,-1.387944,.078556053
54434,.44052726,.71708083
54435,.052775078,.55634904
54436,-.93457919,.1674819
